[auto 2026-08-23T10:59:02-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-23T10:59:02-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:00:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:05:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:10:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:15:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:20:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:25:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:30:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:35:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:40:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:45:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:50:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T14:55:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:00:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:05:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:10:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:15:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:20:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:25:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:30:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:35:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:40:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:45:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:50:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T15:55:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:00:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:05:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:10:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:15:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:20:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:25:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:30:39-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:35:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:40:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:45:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:50:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T16:55:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:00:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:05:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:10:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:15:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:20:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:25:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:30:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:35:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:40:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:45:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:50:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T17:55:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:00:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:05:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:10:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:15:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:20:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:25:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:30:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:35:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:40:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:45:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:50:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T18:55:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:00:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:05:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:10:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:15:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:20:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:25:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:30:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:35:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:40:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:45:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:50:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T19:55:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:00:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:05:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:10:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:15:40-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:20:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:25:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:30:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:35:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:40:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:45:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:50:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T20:55:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:00:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:05:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:10:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:15:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:20:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:25:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:30:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:35:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:40:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:45:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:50:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T21:55:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:00:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:05:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:10:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:15:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:20:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:25:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:30:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:35:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:40:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:45:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:50:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T22:55:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:00:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:05:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:10:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:15:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:20:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:25:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:30:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:35:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:40:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:45:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:50:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-23T23:55:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:00:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:05:41-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:10:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:15:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:20:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:25:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:30:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:35:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:40:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:45:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:50:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T00:55:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:00:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:05:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:10:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:15:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:20:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:25:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:30:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:35:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:40:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:45:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:50:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T01:55:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:00:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:05:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:10:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:15:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:20:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:25:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:30:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:35:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:40:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:45:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:50:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T02:55:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:00:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:05:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:10:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:15:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:20:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:25:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:30:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:35:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:40:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:45:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:50:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T03:55:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:00:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:05:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:10:42-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T04:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T05:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:35:45-04:00] GPU busy (another chain or a model resident); waiting
